user_query,intent,response,source,timestamp,drift_tag
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-01-19,clean_web
delivery delayed order 3973,order_status,auto-response for order_status,synthetic,2025-01-20,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-01-21,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-01-22,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-01-23,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-24,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-01-25,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-01-26,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-27,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-28,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-29,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-01-30,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-01-31,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-02-01,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-02-02,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-02-03,clean_web
still waiting on shipment #4073,order_status,auto-response for order_status,synthetic,2025-02-04,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-02-05,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-02-06,clean_web
still waiting on shipment #4335,order_status,auto-response for order_status,synthetic,2025-02-07,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-08,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-02-09,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-02-10,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-02-11,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-02-12,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-02-13,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-02-14,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-15,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-02-16,clean_web
still waiting on shipment #3522,order_status,auto-response for order_status,synthetic,2025-02-17,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-02-18,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-02-19,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-02-20,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-02-21,clean_web
still waiting on shipment #7284,order_status,auto-response for order_status,synthetic,2025-02-22,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-02-23,clean_web
still waiting on shipment #2143,order_status,auto-response for order_status,synthetic,2025-02-24,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-02-25,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-02-26,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-27,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-02-28,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-03-01,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-02,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-03,clean_web
delivery delayed order 6446,order_status,auto-response for order_status,synthetic,2025-03-04,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-03-05,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-06,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-07,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-08,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-09,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-10,clean_web
delivery delayed order 7325,order_status,auto-response for order_status,synthetic,2025-03-11,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-12,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-13,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-03-14,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-03-15,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-03-16,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-17,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-03-18,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-03-19,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-03-20,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-03-21,clean_web
delivery delayed order 6546,order_status,auto-response for order_status,synthetic,2025-03-22,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-23,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-24,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-25,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-26,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-27,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-03-28,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-03-29,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-30,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-31,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-04-01,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-04-02,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-04-03,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-04-04,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-04-05,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-06,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-04-07,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-08,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-04-09,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-04-10,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-04-11,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-04-12,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-04-13,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-04-14,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-04-15,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-04-16,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-17,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-04-18,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-04-19,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-04-20,clean_web
delivery delayed order 5901,order_status,auto-response for order_status,synthetic,2025-04-21,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-04-22,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-04-23,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-04-24,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-04-25,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-04-26,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-04-27,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-28,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-29,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-30,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-01,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-05-02,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-05-03,clean_web
delivery delayed order 4770,order_status,auto-response for order_status,synthetic,2025-05-04,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-05-05,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-05-06,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-07,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-05-08,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-05-09,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-10,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-05-11,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-05-12,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-13,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-05-14,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-05-15,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-05-16,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-05-17,clean_web
delivery delayed order 3695,order_status,auto-response for order_status,synthetic,2025-05-18,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-05-19,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-05-20,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-05-21,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-05-22,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-05-23,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-05-24,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-05-25,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-05-26,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-05-27,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-05-28,clean_web
hiiii need help,greeting,auto-response for greeting,synthetic,2025-05-29,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-05-30,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-05-31,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-01,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-06-02,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-06-03,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-06-04,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-06-05,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-06-06,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-06-07,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-06-08,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-06-09,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-06-10,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-06-11,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-12,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-06-13,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-06-14,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-15,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-06-16,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-06-17,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-06-18,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-06-19,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-06-20,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-06-21,clean_web
heya whats up,greeting,auto-response for greeting,synthetic,2025-06-22,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-06-23,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-06-24,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-06-25,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-06-26,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-27,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-06-28,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-06-29,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-01,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-01-02,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-01-03,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-01-04,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-05,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-01-06,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-07,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-01-08,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-01-09,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-10,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-01-11,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-12,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-01-13,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-14,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-01-15,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-01-16,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-01-17,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-18,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-01-19,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-01-20,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-01-21,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-22,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-01-23,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-01-24,clean_web
hiiii need help,greeting,auto-response for greeting,synthetic,2025-01-25,clean_web
delivery delayed order 1510,order_status,auto-response for order_status,synthetic,2025-01-26,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-01-27,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-01-28,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-01-29,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-01-30,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-31,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-01,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-02-02,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-02-03,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-02-04,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-02-05,clean_web
delivery delayed order 9282,order_status,auto-response for order_status,synthetic,2025-02-06,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-02-07,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-02-08,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-02-09,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-02-10,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-02-11,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-12,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-02-13,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-02-14,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-02-15,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-02-16,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-02-17,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-02-18,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-02-19,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-02-20,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-02-21,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-02-22,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-02-23,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-02-24,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-02-25,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-02-26,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-02-27,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-02-28,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-01,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-02,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-03,clean_web
still waiting on shipment #6736,order_status,auto-response for order_status,synthetic,2025-03-04,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-05,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-03-06,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-07,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-08,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-03-09,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-03-10,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-03-11,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-03-12,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-13,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-03-14,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-03-15,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-03-16,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-17,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-03-18,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-19,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-03-20,clean_web
still waiting on shipment #7062,order_status,auto-response for order_status,synthetic,2025-03-21,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-03-22,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-03-23,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-03-24,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-03-25,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-03-26,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-03-27,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-03-28,clean_web
delivery delayed order 4531,order_status,auto-response for order_status,synthetic,2025-03-29,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-03-30,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-03-31,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-01,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-04-02,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-04-03,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-04,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-04-05,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-06,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-04-07,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-08,clean_web
hiiii need help,greeting,auto-response for greeting,synthetic,2025-04-09,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-10,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-11,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-12,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-04-13,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-04-14,clean_web
yo,greeting,auto-response for greeting,synthetic,2025-04-15,clean_web
still waiting on shipment #6129,order_status,auto-response for order_status,synthetic,2025-04-16,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-04-17,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-04-18,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-19,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-04-20,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-04-21,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-04-22,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-04-23,clean_web
still waiting on shipment #4986,order_status,auto-response for order_status,synthetic,2025-04-24,clean_web
delivery delayed order 9584,order_status,auto-response for order_status,synthetic,2025-04-25,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-04-26,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-04-27,clean_web
v2 API auth token where,api_help,auto-response for api_help,synthetic,2025-04-28,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-04-29,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-04-30,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-05-01,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-05-02,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-05-03,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-05-04,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-05-05,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-05-06,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-05-07,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-05-08,clean_web
merge two accounts,account,auto-response for account,synthetic,2025-05-09,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-05-10,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-11,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-05-12,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-05-13,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-05-14,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-05-15,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-05-16,clean_web
delivery delayed order 8565,order_status,auto-response for order_status,synthetic,2025-05-17,clean_web
still waiting on shipment #7041,order_status,auto-response for order_status,synthetic,2025-05-18,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-05-19,clean_web
refund after 45 days possible?,refund,auto-response for refund,synthetic,2025-05-20,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-21,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-05-22,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-23,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-05-24,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-05-25,clean_web
chargeback for duplicate payment,refund,auto-response for refund,synthetic,2025-05-26,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-05-27,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-05-28,clean_web
delivery delayed order 2381,order_status,auto-response for order_status,synthetic,2025-05-29,clean_web
still waiting on shipment #1641,order_status,auto-response for order_status,synthetic,2025-05-30,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-05-31,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-06-01,clean_web
still waiting on shipment #6962,order_status,auto-response for order_status,synthetic,2025-06-02,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-03,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-04,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-06-05,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-06-06,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-07,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-06-08,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-09,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-06-10,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-06-11,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-06-12,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-06-13,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-06-14,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-06-15,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-06-16,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-06-17,clean_web
dashboard blank screen,technical_support,auto-response for technical_support,synthetic,2025-06-18,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-06-19,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-06-20,clean_web
pro plan annual price,pricing,auto-response for pricing,synthetic,2025-06-21,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-06-22,clean_web
subscription charge unclear,billing,auto-response for billing,synthetic,2025-06-23,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-24,clean_web
heya whats up,greeting,auto-response for greeting,synthetic,2025-06-25,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-06-26,clean_web
how authenticate webhook v2,api_help,auto-response for api_help,synthetic,2025-06-27,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-06-28,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-06-29,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-01-01,clean_web
tracking number not updating,order_status,auto-response for order_status,synthetic,2025-01-02,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-03,clean_web
heya whats up,greeting,auto-response for greeting,synthetic,2025-01-04,clean_web
integration timeout errors,technical_support,auto-response for technical_support,synthetic,2025-01-05,clean_web
billing dispute for last month,billing,auto-response for billing,synthetic,2025-01-06,clean_web
charged me twice on card ???,billing,auto-response for billing,synthetic,2025-01-07,clean_web
GDPR delete my data,account,auto-response for account,synthetic,2025-01-08,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-01-09,clean_web
pricing page shows old tiers,pricing,auto-response for pricing,synthetic,2025-01-10,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-01-11,clean_web
how much enterprise now 2025,pricing,auto-response for pricing,synthetic,2025-01-12,clean_web
cancel and refund order,refund,auto-response for refund,synthetic,2025-01-13,clean_web
cant log in after password reset,account,auto-response for account,synthetic,2025-01-14,clean_web
delivery delayed order 8684,order_status,auto-response for order_status,synthetic,2025-01-15,clean_web
login fails with 403,technical_support,auto-response for technical_support,synthetic,2025-01-16,clean_web
REST endpoint docs outdated,api_help,auto-response for api_help,synthetic,2025-01-17,clean_web
